PartitionKey,RowKey,Timestamp,ETag,Citation,Confidence,Question,Response
10001,0,,"W/""datetime'2025-09-10T13%3A06%3A21.5701698Z'""",Application Design.docx,0.8,Database Name,SQL
10001,1,,"W/""datetime'2025-09-10T13%3A07%3A33.9399998Z'""",,,Instance Name,
10001,10,,"W/""datetime'2025-09-15T08%3A17%3A08.0910672Z'""",,,Is vendor support available for the application and Database?,
10001,11,,"W/""datetime'2025-09-15T08%3A17%3A28.6727848Z'""",,,If Clustered How many nodes,
10001,12,,"W/""datetime'2025-09-15T08%3A17%3A55.9585132Z'""",,,Is High Availability Always On Enabled,
10001,13,,"W/""datetime'2025-09-15T08%3A18%3A15.4588872Z'""",,,Is Database Mirroring enabled,
10001,14,,"W/""datetime'2025-09-15T08%3A18%3A33.9438713Z'""",,,Linked Server if any,
10001,15,,"W/""datetime'2025-09-15T08%3A18%3A49.0178915Z'""",,,Database Compatibility Level,
10001,16,,"W/""datetime'2025-09-15T08%3A19%3A04.0399428Z'""",,,Authentication Mode:,
10001,17,,"W/""datetime'2025-09-15T08%3A19%3A18.3184418Z'""",,,Recovery Model:,
10001,18,,"W/""datetime'2025-09-15T08%3A19%3A35.4242584Z'""",,,What is the size of the database and what is expected growth / year ?,
10001,19,,"W/""datetime'2025-09-15T08%3A19%3A49.4988787Z'""",,,Is SSIS installed,
10001,2,,"W/""datetime'2025-09-10T13%3A08%3A54.4470295Z'""",,,Server Name,
10001,20,,"W/""datetime'2025-09-15T08%3A20%3A03.1707433Z'""",,,Is SSRS installed,
10001,21,,"W/""datetime'2025-09-15T08%3A20%3A14.1152299Z'""",,,Is SSAS installed,
10001,22,,"W/""datetime'2025-09-15T08%3A20%3A28.8644539Z'""",,,Any Maintenance Plans configured,
10001,23,,"W/""datetime'2025-09-15T08%3A20%3A44.0953945Z'""",,,Any Jobs Deployed on server,
10001,24,,"W/""datetime'2025-09-15T08%3A21%3A07.7373327Z'""",,,Any Packages Deployed on Server,
10001,3,,"W/""datetime'2025-09-10T13%3A09%3A12.1839034Z'""",,,Environment  (Prod/ Test/ Dev/ etc..),
10001,4,,"W/""datetime'2025-09-10T13%3A09%3A31.8836528Z'""",,,Version,
10001,5,,"W/""datetime'2025-09-10T13%3A09%3A45.7947078Z'""",,,Edition,
10001,6,,"W/""datetime'2025-09-10T13%3A10%3A00.2984248Z'""",,,Vendor details,
10001,7,,"W/""datetime'2025-09-10T13%3A10%3A13.8077095Z'""",,,"Database dependencies (Vendor, Product, and Version)?",
10001,8,,"W/""datetime'2025-09-10T13%3A10%3A50.3308624Z'""",,,"Is the Database supported by Internal IT, Vendor, and Partner?",
10001,88,,"W/""datetime'2025-09-10T13%3A11%3A59.5633307Z'""",,,Is Log Shipping Enabled,
10001,9,,"W/""datetime'2025-09-10T13%3A11%3A07.7659085Z'""",,,Does the application use any specific accounts while connecting to DB?,
10001,99,,"W/""datetime'2025-09-10T13%3A11%3A33.7590676Z'""",,,Is this DB Server clustered?,
