PartitionKey,RowKey,Timestamp,ETag,Citation,Confidence,Question,Response
10001,0,,"W/""datetime'2025-09-10T13%3A14%3A23.950798Z'""",Application Design.docx,0.8,Database Name,OracleDB
10001,1,,"W/""datetime'2025-09-10T13%3A14%3A43.0239627Z'""",,,Server Name,
10001,10,,"W/""datetime'2025-09-15T08%3A28%3A28.6429211Z'""",,,OMS database installed? Version for OMS database,
10001,11,,"W/""datetime'2025-09-15T08%3A28%3A39.1149646Z'""",,,is Oracle quaterly update install on server and databases?,
10001,12,,"W/""datetime'2025-09-15T08%3A28%3A52.7562124Z'""",,,Which goldengate port using,
10001,13,,"W/""datetime'2025-09-15T08%3A29%3A07.6287445Z'""",,,Goldengate toplogy,
10001,14,,"W/""datetime'2025-09-15T08%3A29%3A18.4935601Z'""",,,goldengate replication strategy,
10001,15,,"W/""datetime'2025-09-15T08%3A29%3A30.8085533Z'""",,,Goldengate version using,
10001,16,,"W/""datetime'2025-09-15T08%3A29%3A46.4456566Z'""",,,Network Restrictions,
10001,17,,"W/""datetime'2025-09-15T08%3A30%3A10.4390044Z'""",,,Is vendor support available for the application and Database?,
10001,18,,"W/""datetime'2025-09-15T08%3A30%3A22.6020828Z'""",,,"Database dependencies (Vendor, Product, and Version)?",
10001,19,,"W/""datetime'2025-09-15T08%3A30%3A34.7871496Z'""",,,Any Maintenance Plans configured,
10001,2,,"W/""datetime'2025-09-10T13%3A15%3A02.9976296Z'""",,,Instance Name,
10001,20,,"W/""datetime'2025-09-15T08%3A30%3A44.5935696Z'""",,,"Is the server currently monitored?  If so, please describe what tools are monitoring it.",
10001,21,,"W/""datetime'2025-09-15T08%3A30%3A57.3403157Z'""",,,Do you perform any special DB refreshes on regular basis to low enviroments with Prod DB data and how,
10001,22,,"W/""datetime'2025-09-15T08%3A31%3A08.3930272Z'""",,,Sqlnet.ora file,
10001,23,,"W/""datetime'2025-09-15T08%3A31%3A18.690167Z'""",,,Listener.ora file,
10001,24,,"W/""datetime'2025-09-15T08%3A31%3A39.5123273Z'""",,,Size,
10001,25,,"W/""datetime'2025-09-15T08%3A31%3A57.1302932Z'""",,,Temp size,
10001,26,,"W/""datetime'2025-09-15T08%3A32%3A30.4944004Z'""",,,"Growth (either daily, monthly or yearly)",
10001,27,,"W/""datetime'2025-09-15T08%3A33%3A04.2392849Z'""",,,Criticality,
10001,28,,"W/""datetime'2025-09-15T08%3A33%3A20.969804Z'""",,,Is the Database Using ASM,
10001,29,,"W/""datetime'2025-09-15T08%3A33%3A33.4147508Z'""",,,Database Compatibility Level,
10001,3,,"W/""datetime'2025-09-10T13%3A15%3A17.2465303Z'""",,,Environment  (Prod/ Test/ Dev/ etc..),
10001,30,,"W/""datetime'2025-09-15T08%3A33%3A46.9610713Z'""",,,Does the application use any specific accounts while connecting to DB?,
10001,31,,"W/""datetime'2025-09-15T08%3A34%3A02.6291857Z'""",,,Is this DB Server RAC clustered?,
10001,32,,"W/""datetime'2025-09-15T08%3A34%3A14.64737Z'""",,,RAC Clustered Nodes,
10001,33,,"W/""datetime'2025-09-15T08%3A34%3A27.749938Z'""",,,Any Cron Jobs Running on the Server DB related,
10001,34,,"W/""datetime'2025-09-15T08%3A34%3A40.9364561Z'""",,,Is Dataguard E<Customer>led,
10001,35,,"W/""datetime'2025-09-15T08%3A35%3A04.2082494Z'""",,,What Mode is It running Active/Active or Active/Passive,
10001,36,,"W/""datetime'2025-09-15T08%3A35%3A20.9527447Z'""",,,Is the RAC Database running any services which connect to different Applications,
10001,37,,"W/""datetime'2025-09-15T08%3A35%3A38.7896194Z'""",,,Is Database Disk Mirroring e<Customer>led/ DB Snapshots,
10001,38,,"W/""datetime'2025-09-15T08%3A35%3A53.0325316Z'""",,,Are there any DB Links.,
10001,39,,"W/""datetime'2025-09-15T08%3A36%3A07.4253607Z'""",,,Backup Requirements,
10001,4,,"W/""datetime'2025-09-10T13%3A15%3A36.9533163Z'""",,,DB Version,
10001,40,,"W/""datetime'2025-09-15T08%3A37%3A03.0922797Z'""",,,Regulatory requirements,
10001,41,,"W/""datetime'2025-09-15T10%3A24%3A58.3807748Z'""",,,Is the Database running RMAN Backups,
10001,42,,"W/""datetime'2025-09-15T10%3A25%3A11.342374Z'""",,,What kind of RMAN Backups Level 0 or Level 1 Increments,
