PartitionKey,RowKey,Category,Category@type,Comments,Comments@type,Guidance,Guidance@type,Question,Question@type,Response,Response@type
1001,1001,GENERIC INFORMATION,String,,String,For example: EKS/Docker/K8S on VM,String,Current container orchestrator being utilized?,String,,String
1002,1002,GENERIC INFORMATION,,,,Number of clusters deployed for the application.,,How many clusters are being used?,,,
1003,1003,GENERIC INFORMATION,,,,Specify the version(s) in use.,,What Kubernetes version is currently being used?,,,
1004,1004,CLUSTER CONFIGURATION INFORMATION,,,,"Total CPU, Memory and Disk",,Estimated/current size of the application in the cluster,,,
1005,1005,CLUSTER CONFIGURATION INFORMATION,,,,"List the instance types used (e.g., t3.medium, m5.large).",,What instance types/Instance family are being used for the nodes in the cluster?,,,
1006,1006,CLUSTER CONFIGURATION INFORMATION,,,,Specify the number of nodes per cluster.,,How many nodes are there in each cluster?,,,
1007,1007,CLUSTER CONFIGURATION INFORMATION,,,,Describe any taints and tolerations used to control pod placement.,,Are there any taints and tolerations applied to the nodes?,,,
1008,1008,CLUSTER CONFIGURATION INFORMATION,,,,Specify the network plugin used.,,"What network plugin is in use (e.g., Amazon VPC CNI, Calico)?",,,
1009,1009,WORKLOAD INFORMATION,,,,Number of namespaces created and their names,,How many namespaces are in use within the clusters? And names,,,
1010,1010,WORKLOAD INFORMATION,,,,To get access to the NS,,AD group names to get the namespace access.,,,
1011,1011,WORKLOAD INFORMATION,,,,"List the types of Kubernetes workloads.
E.g. Deployments, StatefulSets, Jobs",,"What types of workloads are being deployed (e.g., Deployments, StatefulSets, DaemonSets, Jobs)?",,,
1012,1012,WORKLOAD INFORMATION,,,,kubectl describe ns <NAME>,,Namespace describe output,,,
1013,1013,WORKLOAD INFORMATION,,,,"Deployment methods used for the application.
E.g. Helm charts and plain YAML files",,"How are the workloads deployed (e.g., Helm charts, Kustomize, plain YAML files)?",,,
1014,1014,WORKLOAD INFORMATION,,,,"e.g., helm chart repository",,Deployment code repository,,,
1015,1015,WORKLOAD INFORMATION,,,,Specify if any CRDs are in use.,,Are there any custom resource definitions (CRDs) being used?,,,
1016,1016,WORKLOAD INFORMATION,,,,"Identify any operators or controllers being used.
E.g. Prometheus Operator, Cert-Manager",,"Are any operators or controllers in use? If so, which ones?",,,
1017,1017,WORKLOAD INFORMATION,,,,"pods (compute with request and limit), deployments, storage, Services and ingress",,List of deployed resources and sizing,,,
1018,1018,WORKLOAD INFORMATION,,,,To filter the containers from the EHDS portal,,EHDS Tenant name and list of Microservices deployed to CaaS for each environment,,,
1019,1019,WORKLOAD INFORMATION,,,,"List the storage classes used.
E.g. gp2, io1",,What storage classes are in use?,,,
1020,1020,WORKLOAD INFORMATION,,,,Identify if PVCs are used and their purpose.,,"Are there any persistent volume claims (PVCs) in use? or
List of Stateful deployments",,,
1021,1021,WORKLOAD INFORMATION,,,,Specify the storage backend(s) in use.,,"What type of storage backend is being used (e.g., EBS, EFS, S3) and current size?",,,
