PartitionKey,RowKey,Timestamp,ETag,Category,Guidance,Question
1001,1,,"W/""datetime'2025-09-29T07%3A23%3A41.5405983Z'""",Application General Information,Application ID if relevant,Application ID
1001,10,,"W/""datetime'2025-09-29T07%3A35%3A00.8399453Z'""",Application Environment Information,"Confirm if there is an existing IOD for common enablers and application-specific integrations. If yes, request to share the existing IOD numbers","Does the application has existing IOD for common enablers & application  specific integrations if yes , please share the details."
1001,12,,"W/""datetime'2025-09-29T07%3A34%3A44.0835217Z'""",Application Environment Information,"Specify the number of tiers (1/2/3) and how layers are distributed across them. Examples: 1 Tier – App & DB on same servers 2 Tiers – App and DB hosted on separate tiers 3 Tiers – Web, App, and DB each on separate tiers","Number of Tiers & Tier details How many tiers does your application have, and are any layers hosted on the same servers? (This will help us plan subnet requirements.)"
1001,121,,"W/""datetime'2025-09-29T07%3A24%3A16.3527025Z'""",Application General Information,"Name of the application, Application URL",application name
1001,13,,"W/""datetime'2025-09-29T07%3A24%3A42.431798Z'""",Application General Information,Business contraints/risks/ hardware dependencies that may prevent migrating application to Azure cloud( If any) Example: application rely on any third party appliance or physical hardware,"Are there any constraints that may prevent migration of this application to Azure? - Are there other projects underway or planned that may impact this application/server migration to the Cloud? - Is this application a potential retirement candidate? (Yes/No) - Are there any audit, legal, or compliance constraints to migrate this application to Azure?"
1001,14,,"W/""datetime'2025-09-29T07%3A33%3A37.2237336Z'""",Application Environment Information,Shared/ Dedicated Infrastructure No of source Data centers/ Locations,Application Landscape
1001,15,,"W/""datetime'2025-09-29T07%3A35%3A52.0916795Z'""",Application Environment Information,Please provide details of any batch jobs and their frequency,"If applicable, could you please list down the dependencies for batch jobs or scheduled tasks?"
1001,16,,"W/""datetime'2025-09-29T07%3A36%3A12.3521004Z'""",Application Environment Information,"If your application uses file shares, provide details for each environment (Prod/Non-Prod/DR/ Test): File Share Path – Full UNC path or mount point (e.g., \\server\share or /mnt/share) Type – SMB, NFS, Azure File Share, etc. Allocated Size – Total size provisioned (e.g., 500 GB) Used Size – Current used space (e.g., 320 GB) Protocol – SMB, NFS, CIFS, etc. Authentication Type – AD Integrated, Kerberos, Local Account, etc.","If applicable, could you please list down the dependencies for file share?(Environment wise) If yes, share the path & type of file share  & fileshare approx size( allocated & Used), protocol used & authentication Type  Please update the File Share section in ""Additional Details"" sheet with additional information ( If Applicable)"
1001,17,,"W/""datetime'2025-09-29T07%3A36%3A34.2405907Z'""",Application Environment Information,Is Disaster Recovery (DR) configured for this application?,Is DR configured for this application?  How often is DR tested?  Is there a Business Continuity Disaster Recovery (BCDR) Plan in place?
1001,18,,"W/""datetime'2025-09-29T07%3A36%3A50.4563236Z'""",Application Environment Information,What is the max tolerable downtime(MTD) to plan the application cutover to cloud.,"What is the max tolerable downtime(MTD)? Request to share application define RTO, RPO  If defined"
1001,19,,"W/""datetime'2025-09-29T07%3A37%3A10.9775952Z'""",Application Environment Information,"If yes, please provide details 1.Oubound: please provide URL info 2.Inbound: request share the Data flow like how the request is reaching application/web server( is it via akamai/imperva ?)","Does your application required Internet   connectivity ? If yes, please provide details 1.Oubound: please provide URL info 2.Inbound: Request share the Data flow"
1001,2,,"W/""datetime'2025-09-29T07%3A25%3A28.2600932Z'""",Application General Information,"Description of the application, the purpose, and what it's used for.",Description
1001,20,,"W/""datetime'2025-09-29T07%3A37%3A24.122084Z'""",Application Environment Information,"This question asks how your application securely manages sensitive items like: 1. Encryption keys (used for data encryption/decryption) 2.Certificates (for SSL/TLS, code signing, authentication) 3.Credentials (service accounts, API keys, connection strings, passwords)","How are encryption keys, certificates, and sensitive credentials managed (e.g., via Azure Key Vault, PAM, Cyberark)?"
1001,21,,"W/""datetime'2025-09-29T07%3A37%3A42.9733092Z'""",Application Environment Information,"Confirm if the application’s services layer sends or receives emails. If yes, mention the purpose (e.g., alerts, notifications) and the mail service used (e.g., SMTP, Exchange, third-party API).",Does app send/receive email from the services layer?
1001,22,,"W/""datetime'2025-09-29T07%3A38%3A01.5057176Z'""",Application Environment Information,"Helps to identity where the application configuration setttings are stored. Example :  application-specific runtime configuration settings, connection strings or web service bindings stored in .NET Confguration Files (machine.config, web.config, etc)?",Are there any other locations where configuration information is stored besides the application's configuration file?
1001,23,,"W/""datetime'2025-09-29T07%3A38%3A14.8520903Z'""",Application Environment Information,"e.g., application log files, Windows Event Logs, OS logs",Where are application errors logged ?  and how is this data used to track performance SLAs?
1001,24,,"W/""datetime'2025-09-29T07%3A38%3A25.6769031Z'""",Application Environment Information," List any macro dependencies the app relies on for functionality or data exchange. Include legacy systems, third-party platforms, external APIs, middleware, or appliances. Examples: Legacy mainframe for billing Third-party payment gateway (e.g., PayPal API) External identity provider (e.g., Azure AD, Okta)","What macro dependencies or integrations (e.g., legacy systems, third-party platforms, external services, or appliances) does the application rely on?"
1001,25,,"W/""datetime'2025-09-29T07%3A38%3A45.0428357Z'""",Application Environment Information,"List the development languages, frameworks, and platforms used for the UI (e.g., ASP.NET, React, Angular, Java) along with any key dependencies.","Which development languages, frameworks, and platforms are used for the user interface (e.g., ASP.NET, React, Angular, Java, etc.)?"
1001,26,,"W/""datetime'2025-09-29T07%3A38%3A56.0915213Z'""",Application Environment Information,"Confirm if data & Application folders are encrypted at rest (e.g., DB encryption, disk encryption) and in transit (e.g., HTTPS, TLS, VPN). Give examples if applicable.",Is the data & Application encrypted both in transit and at rest?
1001,27,,"W/""datetime'2025-09-29T07%3A39%3A15.7772708Z'""",Front Tier Details,Provide approximate number of total users and peak concurrent users (give ranges if exact numbers are unknown).,"# of users, #Concurrent users (Approx. ranges)"
1001,28,,"W/""datetime'2025-09-29T07%3A39%3A33.2562818Z'""",Front Tier Details,"Is the app used by internal users only, or is it also accessed externally? Please provide the information about the load balancer, if used",Is the application internal or external-facing? Could you please provide any necessary DNS or DMZ details as applicable?
1001,29,,"W/""datetime'2025-09-29T07%3A39%3A44.6227854Z'""",Front Tier Details,"Confirm if the app needs internet access for incoming (ingress) or outgoing (egress) traffic. If yes, describe: Purpose (e.g., API calls, updates, third-party services) Protocols/Ports (e.g., HTTPS:443, SMTP:25) Destinations (specific URLs or IPs if known)","Does the application require internet ingress (incoming traffic) and/or egress (outgoing traffic)? If yes, please provide details (e.g., purpose, protocols, ports, and destinations)."
1001,3,,"W/""datetime'2025-09-29T07%3A25%3A55.1607193Z'""", Application General Information,Provide the name(s) and email address(es) of the current Application Owner(s),Application Owner
1001,31,,"W/""datetime'2025-09-29T07%3A39%3A55.3816363Z'""",Front Tier Details,"Please provide the information about the load balancer, if used, Type of Load balancer, Required load balancing features","Load Balancers information environment wise  Please update the Load Balancer section in ""Additional Details"" sheet with additional information ( If Applicable)"
1001,32,,"W/""datetime'2025-09-29T07%3A40%3A23.1037927Z'""",Front Tier Details,"Please provide the information about the load balancer, if used",High availability / Load Balancers information Share if Load Balancer IP Address if available
1001,33,,"W/""datetime'2025-09-29T07%3A40%3A32.4644433Z'""",Front Tier Details,"Please provide information about how the application authenticates users (e.g., using Active Directory or an authenticator).",How does the application authenticate users?
1001,34,,"W/""datetime'2025-09-29T07%3A40%3A42.9164697Z'""",Front Tier Details,"Please provide information about end user domains & groups  Request to fill ""App & Infra RBAC"" sheet  Environment wise for more details.",Request to share Application user group / domain requirements for authoratization
1001,35,,"W/""datetime'2025-09-29T07%3A40%3A53.2315739Z'""",Front Tier Details,How end users accessing the applications Example : Browser or Thin Client or Zero Client or Mobile Device or Other Specific client or any desktop app,Type of Clients used to access the application
